Period,Sub_Period,Sum_forecast_1,Sum_forecast_2,Sum_forecast_3,total_forcast
2016,1,825500.933629295,1389984.32516815,234409.195586845,2449894.45438429
2016,2,789778.170598637,1361245.6672493,224702.203453431,2375726.04130136
2016,3,917240.56277076,1580103.82400124,260045.621970894,2757390.0087429
2016,4,896046.855371534,1436624.45052276,252958.841223305,2585630.1471176
2016,5,1011332.95423177,1659128.5966306,288420.447453156,2958881.99831553
2016,6,1028428.68109624,1703705.13662642,294047.171927042,3026180.98964971
2016,7,1035154.43039303,1731240.48377257,293619.332072829,3060014.24623844
2016,8,936948.272600461,1489801.18184946,255427.124775722,2682176.57922564
2016,9,826865.784311414,1319420.30830687,230019.994871374,2376306.08748965
2016,10,815658.222474368,1279153.7070088,223619.021177237,2318430.9506604
2016,11,839330.920663022,1350363.3342509,231180.965079463,2420875.21999338
2016,12,816595.215544209,1428404.66215046,231474.763989779,2476474.64168445
